['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']
Nearest Neighbors (accuracy): [0.91418, 0.78704, 0.6874, 0.67888, 0.66028, 0.69736, 0.67252, 0.65368, 0.63296, 0.70756, 0.68108]
Decision Tree (accuracy): [0.94896, 0.8624, 0.81324, 0.86668, 0.84652, 0.86452, 0.83832, 0.80248, 0.837, 0.85728, 0.82876]
Random Forest (accuracy): [0.95102, 0.88688, 0.91296, 0.86936, 0.8504, 0.87096, 0.8628, 0.81776, 0.83948, 0.87892, 0.85456]
Neural Net (accuracy): [0.63294, 0.59312, 0.6128, 0.6494, 0.61544, 0.6742, 0.61812, 0.69216, 0.74608, 0.64384, 0.6134]
QDA (accuracy): [0.67218, 0.60864, 0.62916, 0.62416, 0.62264, 0.60212, 0.58432, 0.69612, 0.60248, 0.54628, 0.5488]
Nearest Neighbors (auc): [0.9143090153761615, 0.7882796889429936, 0.6892252107691227, 0.6736970430875455, 0.6680790793137693, 0.7009914814830301, 0.6636372652222, 0.6845936804112984, 0.6661161738203794, 0.7080642201233016, 0.6816088143560187]
Decision Tree (auc): [0.9480990387640442, 0.8617301794477812, 0.8152855660274622, 0.8650558075879501, 0.8486291350097828, 0.8656933306358253, 0.8357038708594927, 0.8152900578853252, 0.8433896606850073, 0.8572955412416784, 0.8288156915830953]
Random Forest (auc): [0.9506083561829943, 0.8858583292372769, 0.9134214268063099, 0.8665342920028565, 0.8537822469969741, 0.8727132534728116, 0.8597172646396656, 0.8315037950499895, 0.848661659132884, 0.8789843611372316, 0.854690714709709]
Neural Net (auc): [0.5943701935726352, 0.602880608023797, 0.6004818892495342, 0.6579535473529629, 0.6024211535520785, 0.6679814222567121, 0.6295540503785654, 0.6354809601837099, 0.6492350757488072, 0.6423835405453449, 0.6123322957301442]
QDA (auc): [0.6349621460212486, 0.6180435907762788, 0.6189133742575121, 0.6334734724330748, 0.6104400769662395, 0.5951043385164063, 0.5972516423779877, 0.6478416420455178, 0.5214045164010498, 0.5450907609571322, 0.5479981267794884]
Nearest Neighbors (recall): [0.9130466340047179, 0.8312052063596672, 0.6345126577378648, 0.5084241823587711, 0.47152970144659895, 0.5309783034385526, 0.43795802798134575, 0.5100584477368493, 0.5552407932011332, 0.593468737554759, 0.5076567235603765]
Decision Tree (recall): [0.9565233170023589, 0.8385369470302332, 0.753967639544786, 0.8132639577139081, 0.7954755309325946, 0.810762121093444, 0.7692371752165224, 0.7429658828326764, 0.8220224165537627, 0.853763440860215, 0.8104960918806827]
Random Forest (recall): [0.9546361821810924, 0.8504819177856495, 0.8995896880080514, 0.776428807400066, 0.7685441674361342, 0.7906320983786325, 0.7813957361758828, 0.7539078428707353, 0.8179578765857864, 0.8643568299482278, 0.8116924549369915]
Neural Net (recall): [0.9717655597895118, 0.9408517999835242, 0.9697298134241698, 0.9307069705979518, 0.9305170821791321, 0.9591133390773087, 0.9200532978014657, 0.9554845725159712, 0.9730878186968839, 0.9733970529669455, 0.9635508055511246]
QDA (recall): [0.999129014697877, 0.9436526896778977, 0.9260664240922815, 0.9304592005285761, 0.9178978147122191, 0.9235529098456959, 0.9257994670219853, 0.9204159304064157, 0.7925237098164799, 0.8153723616089208, 0.8117722124740788]
Nearest Neighbors (precision): [0.9299549050048052, 0.7549569771791994, 0.7259521700620017, 0.7478134110787172, 0.7904037146910873, 0.811176259423238, 0.7852769896968792, 0.838172883627429, 0.8218778486782133, 0.7714847794574446, 0.7795468462951622]
Decision Tree (precision): [0.9511385370430515, 0.8730594390599536, 0.8672306322350846, 0.901822511218976, 0.8976295910393332, 0.9142377671789437, 0.8790445374952417, 0.9043679682329583, 0.9184614326016651, 0.8608947072524296, 0.8421314328333471]
Random Forest (precision): [0.9564063408958697, 0.9106465555261533, 0.929674373949916, 0.9438755020080322, 0.9317164179104478, 0.948060486522025, 0.9209854731056144, 0.9222647156634519, 0.9262849571099798, 0.8912614980289093, 0.8886657352427524]
Neural Net (precision): [0.6037382756132756, 0.5471137724550899, 0.5741920696768279, 0.5870799687418599, 0.5812824456835224, 0.6163176967988726, 0.5626687038451744, 0.6663033175355451, 0.7277542372881356, 0.5878024145062768, 0.567476161397905]
QDA (precision): [0.6271584126839491, 0.557285332036001, 0.5899003846533188, 0.5684157416750757, 0.5877512810405991, 0.5679125325113188, 0.5391890581045689, 0.6782012118784115, 0.6620537092293446, 0.5314609074862423, 0.5329353859042831]
