['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']
Random Forest (accuracy): [0.95308, 0.88708, 0.9134, 0.89736, 0.86208, 0.8672, 0.86276, 0.81772, 0.83844, 0.87972, 0.85544]
Neural Net (accuracy): [0.6232, 0.58048, 0.59952, 0.63168, 0.59972, 0.64852, 0.599, 0.66828, 0.70216, 0.60384, 0.59608]
QDA (accuracy): [0.67218, 0.60864, 0.62916, 0.62416, 0.62264, 0.60212, 0.58432, 0.69612, 0.60248, 0.54628, 0.5488]
LightGBM (accuracy): [0.96702, 0.92112, 0.92936, 0.92768, 0.91076, 0.93432, 0.919, 0.905, 0.85628, 0.92248, 0.9058]
Random Forest (auc): [0.9527086898319039, 0.8860249674225886, 0.9138418787228751, 0.8953981085116565, 0.865102316874164, 0.8690455640909983, 0.8596251667607473, 0.831908669362208, 0.8480449763207575, 0.8797942328163474, 0.855574370876106]
Neural Net (auc): [0.5832364029105765, 0.5907988896133971, 0.5866767848924682, 0.6409054470054953, 0.5858926397674562, 0.6417375060804542, 0.6112874155325021, 0.6066364751840729, 0.5869196922664208, 0.6022349232681145, 0.5949582663663144]
QDA (auc): [0.6349621460212486, 0.6180435907762788, 0.6189133742575121, 0.6334734724330748, 0.6104400769662395, 0.5951043385164063, 0.5972516423779877, 0.6478416420455178, 0.5214045164010498, 0.5450907609571322, 0.5479981267794884]
LightGBM (auc): [0.9669590081264394, 0.9207604891373111, 0.9293935123742288, 0.9265138933177779, 0.9124045062849163, 0.9349738518459151, 0.9174378154711308, 0.9109270368348739, 0.8709736143817572, 0.9225200359878967, 0.9058415682254368]
Random Forest (recall): [0.9563418617310833, 0.849493368481753, 0.9005961136486801, 0.8328377931945821, 0.7889350569405971, 0.7826427508420146, 0.7799800133244503, 0.7518010058447737, 0.8159256066017982, 0.8629231381919554, 0.8113734247886425]
Neural Net (recall): [0.9742696425331155, 0.9481011615454321, 0.9716652473484555, 0.9350842418235877, 0.9343644198214835, 0.9592699929505757, 0.9234676882078614, 0.9546690226994698, 0.9722872274910703, 0.9670250896057347, 0.9639495932365608]
QDA (recall): [0.999129014697877, 0.9436526896778977, 0.9260664240922815, 0.9304592005285761, 0.9178978147122191, 0.9235529098456959, 0.9257994670219853, 0.9204159304064157, 0.7925237098164799, 0.8153723616089208, 0.8117722124740788]
LightGBM (recall): [0.9675557974959172, 0.9083120520635967, 0.9283889448014245, 0.8893293690122234, 0.8709602954755309, 0.9043628103704864, 0.8777481678880746, 0.877463640070681, 0.8218376647370366, 0.91342094782955, 0.8921678098580316]
Random Forest (precision): [0.9584288052373159, 0.9119207640608419, 0.9295988492887965, 0.9489930359495576, 0.9356634422339843, 0.9482774983391857, 0.9223042836041359, 0.9243753655887023, 0.9265682914889153, 0.893894389438944, 0.8906496235335318]
Neural Net (precision): [0.5968828512350757, 0.5386343426779614, 0.5654367707347839, 0.5734400324149108, 0.5701742029393811, 0.5970069221019791, 0.5490963109680614, 0.6481336224795828, 0.6929424157303371, 0.5612777957560908, 0.556138413399595]
QDA (precision): [0.6271584126839491, 0.557285332036001, 0.5899003846533188, 0.5684157416750757, 0.5877512810405991, 0.5679125325113188, 0.5391890581045689, 0.6782012118784115, 0.6620537092293446, 0.5314609074862423, 0.5329353859042831]
LightGBM (precision): [0.9724613364458711, 0.9277240218763146, 0.934465830281306, 0.9583481666073336, 0.9533395098121789, 0.964819921450656, 0.949806253942507, 0.9575762070755767, 0.9501601993592026, 0.9309197175095381, 0.9177126917712691]
