['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']
Nearest Neighbors (accuracy): [0.91418, 0.78704, 0.6874, 0.67888, 0.66028, 0.69736, 0.67252, 0.65368, 0.63296, 0.70756, 0.68108]
Decision Tree (accuracy): [0.94892, 0.86144, 0.8154, 0.8674, 0.84512, 0.86492, 0.83952, 0.80692, 0.8388, 0.85948, 0.8318]
Random Forest (accuracy): [0.95058, 0.88752, 0.91276, 0.89452, 0.84808, 0.81908, 0.85216, 0.81516, 0.83628, 0.87836, 0.85088]
Neural Net (accuracy): [0.60428, 0.56024, 0.57876, 0.61124, 0.59152, 0.63816, 0.58976, 0.66096, 0.73196, 0.6138, 0.5876]
QDA (accuracy): [0.67218, 0.60864, 0.62916, 0.62416, 0.62264, 0.60212, 0.58432, 0.69612, 0.60248, 0.54628, 0.5488]
LightGBM (accuracy): [0.96702, 0.92112, 0.92936, 0.92768, 0.91076, 0.93432, 0.919, 0.905, 0.85628, 0.92248, 0.9058]
Nearest Neighbors (auc): [0.9143090153761615, 0.7882796889429936, 0.6892252107691227, 0.6736970430875455, 0.6680790793137693, 0.7009914814830301, 0.6636372652222, 0.6845936804112984, 0.6661161738203794, 0.7080642201233016, 0.6816088143560187]
Decision Tree (auc): [0.9480462231130197, 0.8607878767160417, 0.8174132394931342, 0.8657790276384194, 0.847184005249507, 0.8660627407790554, 0.8369183475384228, 0.8187547768984427, 0.8446439361721061, 0.8594806235448718, 0.8318491532171344]
Random Forest (auc): [0.95028351527165, 0.8864664908771687, 0.9132145245469373, 0.8924736964998332, 0.8515380735404809, 0.8218977201060393, 0.8486823131869394, 0.8297631268885094, 0.8467762993852656, 0.8784394865884603, 0.8510247864306661]
Neural Net (auc): [0.5609398469510279, 0.5717814023945053, 0.5648155950015952, 0.6219483204269445, 0.5759771365838965, 0.6306299646691282, 0.6038227952711329, 0.5928549637761146, 0.6237842021748, 0.6121414350581827, 0.5863845551315047]
QDA (auc): [0.6349621460212486, 0.6180435907762788, 0.6189133742575121, 0.6334734724330748, 0.6104400769662395, 0.5951043385164063, 0.5972516423779877, 0.6478416420455178, 0.5214045164010498, 0.5450907609571322, 0.5479981267794884]
LightGBM (auc): [0.9669590081264394, 0.9207604891373111, 0.9293935123742288, 0.9265138933177779, 0.9124045062849163, 0.9349738518459151, 0.9174378154711308, 0.9109270368348739, 0.8709736143817572, 0.9225200359878967, 0.9058415682254368]
Nearest Neighbors (recall): [0.9130466340047179, 0.8312052063596672, 0.6345126577378648, 0.5084241823587711, 0.47152970144659895, 0.5309783034385526, 0.43795802798134575, 0.5100584477368493, 0.5552407932011332, 0.593468737554759, 0.5076567235603765]
Decision Tree (recall): [0.9565958991108692, 0.838207430595601, 0.7570643338236432, 0.8140898579451602, 0.7951677439212065, 0.8125636406360147, 0.770819453697535, 0.7519369308141906, 0.8251016134991994, 0.8593389088012744, 0.8156803317913542]
Random Forest (recall): [0.9531845400108874, 0.8499876431337013, 0.8995896880080514, 0.827221671622068, 0.7643890427823946, 0.6899819848045743, 0.7603264490339774, 0.7473154818540165, 0.8116763148170957, 0.8603743528474711, 0.803397671079917]
Neural Net (recall): [0.9850117945926329, 0.9714144492956586, 0.9828133467523419, 0.9634126197555335, 0.9676823638042474, 0.9831597086237958, 0.9611092604930047, 0.9773684925920891, 0.9855277743564478, 0.9890880127439268, 0.9862019460839049]
QDA (recall): [0.999129014697877, 0.9436526896778977, 0.9260664240922815, 0.9304592005285761, 0.9178978147122191, 0.9235529098456959, 0.9257994670219853, 0.9204159304064157, 0.7925237098164799, 0.8153723616089208, 0.8117722124740788]
LightGBM (recall): [0.9675557974959172, 0.9083120520635967, 0.9283889448014245, 0.8893293690122234, 0.8709602954755309, 0.9043628103704864, 0.8777481678880746, 0.877463640070681, 0.8218376647370366, 0.91342094782955, 0.8921678098580316]
Nearest Neighbors (precision): [0.9299549050048052, 0.7549569771791994, 0.7259521700620017, 0.7478134110787172, 0.7904037146910873, 0.811176259423238, 0.7852769896968792, 0.838172883627429, 0.8218778486782133, 0.7714847794574446, 0.7795468462951622]
Decision Tree (precision): [0.951004798499116, 0.8715203426124197, 0.8687810945273632, 0.9025730244483106, 0.8951836451836452, 0.913365029054411, 0.8801825789273487, 0.9038477248590802, 0.918426103646833, 0.8606413529036375, 0.843742265489646]
Random Forest (precision): [0.9569700502805509, 0.912370678220886, 0.9293026231605886, 0.9483950383486413, 0.9310215557638238, 0.939726904203115, 0.917772416566144, 0.9241112698546097, 0.9271895884628913, 0.8934656741108354, 0.8885850388143967]
Neural Net (precision): [0.5835106954745781, 0.5255136146887116, 0.5518605459920014, 0.5570412110214412, 0.5622317596566524, 0.5870083711359492, 0.5410689170182841, 0.6384745160717457, 0.7122257332324536, 0.5661013858497447, 0.549506710514621]
QDA (precision): [0.6271584126839491, 0.557285332036001, 0.5899003846533188, 0.5684157416750757, 0.5877512810405991, 0.5679125325113188, 0.5391890581045689, 0.6782012118784115, 0.6620537092293446, 0.5314609074862423, 0.5329353859042831]
LightGBM (precision): [0.9724613364458711, 0.9277240218763146, 0.934465830281306, 0.9583481666073336, 0.9533395098121789, 0.964819921450656, 0.949806253942507, 0.9575762070755767, 0.9501601993592026, 0.9309197175095381, 0.9177126917712691]
