Size: 3000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.7889999999999999, 0.724, 0.6613333333333333, 0.6673333333333333, 0.6046666666666667, 0.6126666666666667, 0.644, 0.581, 0.43033333333333335, 0.5153333333333333, 0.578]

Decision Tree (accuracy): [0.8516666666666668, 0.8076666666666666, 0.8286666666666667, 0.8016666666666666, 0.777, 0.7416666666666667, 0.784, 0.7296666666666667, 0.706, 0.7453333333333333, 0.7423333333333333]

Random Forest (accuracy): [0.8928333333333333, 0.8576666666666667, 0.8896666666666667, 0.8573333333333333, 0.8166666666666667, 0.795, 0.835, 0.7953333333333333, 0.8276666666666667, 0.8626666666666667, 0.8346666666666667]

AdaBoost (RF) (accuracy): [0.9053333333333334, 0.873, 0.9003333333333333, 0.8906666666666667, 0.8433333333333334, 0.8246666666666667, 0.8646666666666667, 0.8216666666666667, 0.8226666666666667, 0.88, 0.8546666666666667]

LightGBM (accuracy): [0.9229999999999998, 0.8986666666666666, 0.9023333333333333, 0.9093333333333333, 0.899, 0.92, 0.8953333333333333, 0.8743333333333333, 0.8143333333333334, 0.8836666666666667, 0.8666666666666667]

Nearest Neighbors (auc): [0.8729314808133071, 0.7234471825911515, 0.6707034872325597, 0.6622893937877423, 0.6188668725338824, 0.6208617781043089, 0.6379759809669894, 0.6161003236245954, 0.4980430130039315, 0.5196888024451236, 0.5781562569583364]

Decision Tree (auc): [0.8283753130475274, 0.8068525724167748, 0.828607834899471, 0.7994361592099557, 0.7829065877509006, 0.7461197112305986, 0.7815865943260417, 0.7450603218633732, 0.7062076906971876, 0.7449958321756043, 0.742349441044196]

Random Forest (auc): [0.9642641982530478, 0.8564434516661062, 0.8904944149006229, 0.8543622593667635, 0.8239620861211185, 0.7998027314990137, 0.8322150965085386, 0.8136131475243821, 0.8320742317444809, 0.8627618782995276, 0.8346985931993748]

AdaBoost (RF) (auc): [0.9723105110303247, 0.8717327718264452, 0.9013449421131094, 0.8883061421946418, 0.8500922113570082, 0.8289522341447613, 0.8623905859910921, 0.8383060343878652, 0.8300765347663247, 0.8800444567935537, 0.8546963798650576]

LightGBM (auc): [0.9792350335151394, 0.8979519943635812, 0.9020012510051125, 0.9077503086110834, 0.9017305712815235, 0.9210792496053962, 0.8940683771938409, 0.883574951016005, 0.8282125991578849, 0.8837843845512642, 0.8666781629680724]

Nearest Neighbors (precision): [0.8134824038260391, 0.7215189873417721, 0.7618621307072516, 0.7329255861365953, 0.7259100642398287, 0.7392900856793145, 0.7149220489977728, 0.7632398753894081, 0.6406052963430012, 0.5495118549511855, 0.6474278544542033]

Decision Tree (precision): [0.8640602279190623, 0.8175919250180245, 0.8463989802421925, 0.844, 0.8570342205323194, 0.8388501742160279, 0.8255250403877221, 0.8485735186539868, 0.8132458233890215, 0.7418944691671965, 0.7549019607843137]

Random Forest (precision): [0.9071632497388098, 0.8849887976101568, 0.9118028534370947, 0.9385140905209223, 0.9178515007898894, 0.9172597864768683, 0.9005847953216374, 0.9246676514032496, 0.9063756461803562, 0.8707528314457028, 0.8703021370670597]

AdaBoost (RF) (precision): [0.9218000402137806, 0.9039759939984996, 0.923828125, 0.9585028478437754, 0.9397217928902627, 0.9385140905209223, 0.9212218649517685, 0.9405017921146953, 0.9098360655737705, 0.885506287227002, 0.8895391367959035]

LightGBM (precision): [0.9316030947170276, 0.9151079136690647, 0.9097744360902256, 0.9532567049808429, 0.9429735234215886, 0.9518238128011012, 0.9253731343283582, 0.9488673139158577, 0.9194630872483222, 0.8925233644859814, 0.8799171842650103]

Nearest Neighbors (recall): [0.794335063709297, 0.7037037037037037, 0.5315427857589007, 0.4941580756013746, 0.4216417910447761, 0.38892466194462333, 0.44154057771664373, 0.4166666666666667, 0.2629399585921325, 0.2583606557377049, 0.34377081945369753]

Decision Tree (recall): [0.8634100991033506, 0.7777777777777778, 0.8294815740162399, 0.7250859106529209, 0.7008706467661692, 0.6200901481004507, 0.7028885832187071, 0.6575963718820862, 0.7054865424430642, 0.7652459016393443, 0.7181878747501665]

Random Forest (recall): [0.8944143463898065, 0.8127572016460906, 0.8782011242973142, 0.7553264604810996, 0.722636815920398, 0.6638763683193818, 0.7414030261348006, 0.7097505668934241, 0.8167701863354038, 0.8570491803278688, 0.7868087941372418]

AdaBoost (RF) (recall): [0.9023916941953752, 0.8264746227709191, 0.8863210493441599, 0.8096219931271478, 0.7562189054726368, 0.707662588538313, 0.7881705639614855, 0.7437641723356009, 0.8043478260869565, 0.8773770491803279, 0.810126582278481]

LightGBM (recall): [0.9263378952336009, 0.8724279835390947, 0.9069331667707683, 0.8549828178694158, 0.8638059701492538, 0.8905344494526722, 0.8528198074277854, 0.8310657596371882, 0.7800207039337475, 0.8767213114754099, 0.8494337108594271]

