Size: 20000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.865625, 0.78475, 0.67765, 0.67885, 0.6554, 0.6987, 0.66985, 0.64595, 0.6272, 0.69355, 0.6674]

Decision Tree (accuracy): [0.902725, 0.8474, 0.88165, 0.8658, 0.82415, 0.84195, 0.83755, 0.7982, 0.7667, 0.81575, 0.80195]

Random Forest (accuracy): [0.918825, 0.8815, 0.9104, 0.87175, 0.8459, 0.86595, 0.85865, 0.81015, 0.8337, 0.8832, 0.8507]

AdaBoost (RF) (accuracy): [0.9504000000000001, 0.92105, 0.9344, 0.92565, 0.90405, 0.91605, 0.90965, 0.8824, 0.85645, 0.9228, 0.9068]

LightGBM (accuracy): [0.946125, 0.9145, 0.9272, 0.927, 0.90995, 0.9337, 0.9181, 0.8952, 0.84765, 0.9208, 0.9037]

Nearest Neighbors (auc): [0.931815173630296, 0.7855311911922672, 0.680151777783786, 0.6739045323910029, 0.6642466539160345, 0.7020306711660884, 0.6611638777312645, 0.6780601843809558, 0.6603624734372403, 0.694010974382228, 0.6688805746941644]

Decision Tree (auc): [0.9243022913532821, 0.8467983561018213, 0.8816970933207561, 0.8641446739799848, 0.827521984589356, 0.8435228184713429, 0.835102178842388, 0.8109110522295909, 0.7864681888386983, 0.8158910739483184, 0.8023002819491537]

Random Forest (auc): [0.9783025789881095, 0.8805931115090763, 0.9110589396884335, 0.8691019408261179, 0.8501905274795356, 0.8676736724510273, 0.8553368076298963, 0.8260724537456752, 0.8447946105378875, 0.8832506869289026, 0.8510676789575877]

AdaBoost (RF) (auc): [0.9903708037663004, 0.9202303563288131, 0.93514000666913, 0.924034761316965, 0.9069235437348627, 0.9172321180910853, 0.9072788391792235, 0.8932741544853708, 0.8741951860672673, 0.9228908006647766, 0.9071071283976918]

LightGBM (auc): [0.9888570785705157, 0.9140069591897672, 0.9273299146531603, 0.9257854914872446, 0.9118370266440059, 0.9343087956261558, 0.9165049356939866, 0.9016945498084276, 0.8630999099793247, 0.9208216538486338, 0.9038454699583922]

Nearest Neighbors (precision): [0.8847270293823468, 0.7587217547508746, 0.723380025054094, 0.7487856709168185, 0.7851994233541566, 0.8098915787910292, 0.780093023255814, 0.8340667139815472, 0.8158620689655173, 0.7621092177646586, 0.7749598715890851]

Decision Tree (precision): [0.9089974121620432, 0.861457437661221, 0.8901238178804719, 0.9044380403458213, 0.8937329700272479, 0.9112903225806451, 0.8756048625044258, 0.9, 0.9002125193199382, 0.8437060287909947, 0.8342988304732758]

Random Forest (precision): [0.9317419351204549, 0.9109163523408031, 0.9311419380780056, 0.9455544455544456, 0.9375519411136175, 0.9467554076539102, 0.9237108253215133, 0.9257325519445925, 0.9265331442750797, 0.8950338600451467, 0.8891571553994733]

AdaBoost (RF) (precision): [0.9654306306336684, 0.9517355371900826, 0.9564603910501915, 0.973921070851604, 0.9689010989010989, 0.9744932056137224, 0.961570296795554, 0.9630029440628066, 0.957935858998819, 0.9457274826789839, 0.9427554980595084]

LightGBM (precision): [0.954643799080831, 0.9304310712761417, 0.9349990240093695, 0.9612672114631143, 0.9534591194968554, 0.9640204999477042, 0.9505196565747853, 0.9524743230625583, 0.946291790574029, 0.9264379414732593, 0.920639834881321]

Nearest Neighbors (recall): [0.8686607959355074, 0.8207199836367355, 0.6125361620057859, 0.5085042779094938, 0.4689562804936382, 0.5346602608098833, 0.4361348034116913, 0.49847302341364097, 0.548023471278567, 0.565962534874452, 0.4790633062115499]

Decision Tree (recall): [0.9145040886189397, 0.8196972796072817, 0.8804243008678881, 0.8087825997319864, 0.7530852386874581, 0.7644867143837631, 0.7716871229457042, 0.73982015609094, 0.7195027794935145, 0.7767038660821044, 0.7573923397499503]

Random Forest (recall): [0.9195584639759632, 0.8397422785845776, 0.8932497589199614, 0.7805380888568189, 0.7554768965847125, 0.7810569663692519, 0.7695028084044102, 0.7370206990159485, 0.8072112415071031, 0.8691709844559585, 0.8039293510617186]

AdaBoost (RF) (recall): [0.9435034775853477, 0.8833094702393127, 0.9151398264223722, 0.8700134006803423, 0.8434899072036736, 0.8578291989410727, 0.8458498023715415, 0.8324567356633865, 0.81408276714021, 0.8976683937823834, 0.8677316927961897]

LightGBM (recall): [0.9469629889408724, 0.8917979136837799, 0.9238187078109933, 0.8851664776827132, 0.8701808093370325, 0.9037160505931954, 0.8751820262117745, 0.8653715643026807, 0.8107628165534281, 0.9148066958947788, 0.8851954752927168]

